Frame,Sub Frame,head,,,chest,,,leftshoulder,,,rightshoulder,,,leftelbow,,,rightelbow,,,lefthand,,,righthand,,,lefthip,,,righthip,,,leftknee,,,rightknee,,,leftfoot,,,rightfoot,,
,,TX,TY,TZ,TX,TY,TZ,TX,TY,TZ,TX,TY,TZ,TX,TY,TZ,TX,TY,TZ,TX,TY,TZ,TX,TY,TZ,TX,TY,TZ,TX,TY,TZ,TX,TY,TZ,TX,TY,TZ,TX,TY,TZ,TX,TY,TZ
Frames,Frames,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
15,0,113.278,-540.801,-462.225,171.801,-391.591,-192.135,273.180,-370.606,-139.445,70.422,-412.576,-244.825,312.364,-157.347,-113.550,112.864,-118.172,-305.058,349.626,82.573,-114.706,147.153,56.765,-367.115,75.544,8.119,93.110,-72.119,-13.102,-90.651,205.889,386.749,18.549,26.256,306.013,-252.741,139.322,742.229,167.534,-190.479,663.323,-171.273
16,0,111.696,-541.685,-462.288,170.589,-391.632,-192.201,271.665,-370.818,-139.410,69.514,-412.445,-244.992,311.805,-157.362,-114.292,112.312,-118.218,-305.987,349.479,82.547,-117.750,147.019,56.990,-368.166,75.497,7.938,93.160,-72.046,-12.915,-90.690,206.726,386.119,18.178,29.318,305.849,-253.098,140.204,741.702,164.435,-189.113,662.542,-171.427
17,0,109.724,-545.444,-461.480,169.342,-393.004,-191.435,269.295,-372.847,-137.855,69.389,-413.160,-245.015,308.395,-158.317,-114.276,112.123,-120.382,-306.740,348.700,80.876,-117.956,145.803,54.956,-369.343,75.155,7.826,93.504,-71.639,-12.780,-91.015,206.711,385.616,26.971,31.743,305.853,-253.659,140.612,739.625,184.486,-188.304,659.010,-170.302
18,0,109.003,-545.978,-461.393,168.496,-393.777,-189.829,268.094,-374.195,-134.612,68.898,-413.359,-245.046,308.009,-159.080,-107.851,111.032,-121.776,-306.896,348.605,80.443,-108.520,144.864,53.085,-369.746,74.887,7.728,93.845,-71.334,-12.691,-91.346,206.768,385.638,26.657,32.800,306.428,-252.757,141.260,740.328,182.279,-187.428,659.321,-169.563
19,0,108.235,-547.850,-461.432,167.140,-394.186,-190.237,266.130,-374.949,-134.689,68.151,-413.424,-245.786,306.412,-159.244,-107.152,110.218,-122.161,-307.697,348.509,79.917,-105.491,144.157,53.251,-371.269,74.714,7.512,93.972,-71.135,-12.476,-91.455,206.036,385.553,35.226,35.412,307.911,-252.417,141.687,738.953,198.418,-186.118,658.894,-163.530
20,0,107.416,-549.129,-461.393,166.920,-394.502,-188.874,265.790,-374.983,-132.040,68.049,-414.021,-245.708,305.996,-158.586,-101.811,109.699,-123.675,-307.453,348.478,79.932,-96.558,143.199,52.045,-371.438,74.604,7.497,94.272,-71.016,-12.460,-91.736,206.459,385.540,36.367,39.941,307.898,-254.464,145.019,738.914,199.989,-185.058,658.311,-163.442
21,0,107.034,-550.815,-461.048,166.051,-396.099,-187.665,264.407,-377.547,-129.582,67.696,-414.650,-245.748,305.031,-159.425,-96.998,108.309,-124.285,-307.454,348.388,78.428,-89.723,142.382,51.823,-371.221,74.340,7.351,94.830,-70.713,-12.307,-92.266,206.461,384.950,35.691,45.676,307.942,-254.736,144.944,738.132,196.322,-184.095,657.067,-163.408
22,0,106.884,-555.039,-460.101,165.328,-397.612,-186.087,263.633,-379.100,-127.042,67.024,-416.125,-245.132,305.003,-160.453,-94.549,108.117,-126.024,-306.354,348.669,76.222,-88.944,142.234,49.750,-370.008,74.176,7.309,95.012,-70.533,-12.261,-92.441,206.641,384.946,35.887,47.605,308.467,-254.597,145.208,738.457,195.635,-182.527,657.221,-161.838
23,0,106.075,-558.548,-458.934,164.517,-399.164,-184.522,263.315,-381.023,-125.189,65.719,-417.304,-243.855,307.142,-162.401,-93.708,107.977,-126.184,-304.950,351.698,72.838,-89.673,142.049,48.721,-367.832,73.963,7.277,95.185,-70.285,-12.220,-92.634,206.544,384.665,35.238,50.438,309.099,-252.279,146.033,739.788,192.548,-181.545,658.457,-161.604
24,0,104.731,-561.384,-453.578,163.434,-402.138,-179.015,262.269,-384.680,-118.565,64.600,-419.597,-239.465,308.633,-166.409,-88.392,107.768,-128.314,-300.433,355.573,67.384,-87.487,141.993,43.803,-361.529,73.576,7.228,95.644,-69.840,-12.157,-93.128,207.535,383.200,31.938,51.799,309.051,-252.035,146.279,739.904,182.174,-181.451,658.722,-163.252
25,0,104.644,-563.605,-451.630,163.129,-404.187,-175.837,262.041,-387.024,-115.006,64.216,-421.349,-236.667,310.543,-168.508,-83.679,107.749,-129.207,-296.283,359.066,65.914,-83.762,141.800,42.902,-356.005,73.273,7.211,95.875,-69.501,-12.136,-93.381,208.680,383.214,31.563,53.860,309.116,-251.346,148.078,742.693,181.664,-180.760,658.803,-161.527
26,0,103.672,-567.887,-447.334,162.347,-406.180,-172.741,261.082,-388.721,-110.717,63.611,-423.639,-234.765,311.750,-169.320,-74.488,107.741,-130.328,-293.351,363.238,65.693,-70.626,142.029,41.802,-352.195,72.754,7.183,96.285,-68.937,-12.087,-93.808,208.660,383.304,32.203,54.160,310.465,-248.975,148.084,744.240,181.951,-179.976,661.067,-160.030
27,0,103.463,-571.839,-441.674,161.925,-408.062,-169.347,260.604,-389.756,-106.104,63.246,-426.367,-232.589,314.831,-171.025,-69.005,108.455,-132.917,-290.775,369.780,64.485,-64.124,143.126,39.739,-346.968,72.393,7.169,96.622,-68.554,-12.067,-94.186,209.411,383.296,26.020,56.677,310.532,-247.878,150.280,748.933,162.701,-178.314,663.173,-159.901
28,0,102.631,-573.857,-440.195,160.198,-409.180,-168.497,259.004,-390.110,-105.535,61.391,-428.251,-231.460,314.752,-170.901,-67.907,108.471,-134.305,-289.572,369.060,64.685,-61.351,143.737,37.864,-346.740,72.184,7.148,96.770,-68.350,-12.038,-94.336,211.587,383.314,25.905,62.173,310.604,-245.784,151.162,748.921,163.412,-175.651,663.417,-155.232
29,0,102.734,-577.064,-437.220,159.940,-410.265,-166.333,258.723,-390.276,-102.590,61.157,-430.253,-230.077,314.634,-170.824,-63.485,109.286,-136.272,-288.512,369.487,64.806,-53.236,146.107,36.311,-345.427,72.030,7.139,97.150,-68.212,-12.023,-94.743,214.476,383.300,22.247,65.505,310.128,-245.066,153.768,749.630,156.022,-172.182,664.123,-154.390
30,0,102.055,-581.702,-429.684,159.033,-415.267,-160.496,257.898,-394.215,-95.958,60.169,-436.318,-225.034,315.425,-175.704,-53.552,109.034,-142.642,-283.757,375.200,62.185,-39.484,146.458,31.864,-338.165,71.751,7.134,97.462,-67.921,-12.008,-95.070,216.437,383.288,22.167,67.023,310.002,-243.669,154.023,749.627,154.609,-171.608,665.071,-154.191
31,0,101.875,-587.370,-420.532,157.597,-418.400,-155.590,256.422,-395.622,-89.667,58.773,-441.178,-221.513,315.364,-176.452,-45.505,109.006,-145.552,-280.641,375.731,61.374,-28.627,146.482,30.676,-333.415,71.474,7.165,98.204,-67.661,-12.013,-95.863,219.230,383.127,22.015,69.836,307.684,-243.499,154.058,749.641,154.502,-170.639,665.288,-153.368
32,0,101.004,-590.442,-415.860,155.973,-422.565,-150.912,254.480,-399.022,-84.164,57.466,-446.108,-217.661,315.178,-178.348,-37.269,108.232,-149.917,-278.281,377.444,60.441,-16.998,146.445,28.877,-331.593,71.265,7.179,98.857,-67.455,-12.007,-96.550,222.344,383.119,34.158,70.321,305.813,-244.837,155.431,749.322,171.275,-169.958,665.293,-153.505
33,0,100.973,-594.338,-403.715,154.912,-426.272,-142.916,252.559,-401.958,-73.350,57.264,-450.586,-212.482,315.082,-182.396,-25.092,108.168,-155.037,-277.445,380.556,57.499,-2.007,146.501,25.853,-331.965,70.369,7.173,99.815,-66.588,-11.990,-97.538,223.280,383.055,33.618,72.675,306.332,-241.116,157.031,749.312,168.663,-169.160,668.274,-152.074
34,0,99.201,-595.944,-400.920,153.463,-428.252,-140.507,251.221,-403.615,-71.682,55.705,-452.889,-209.332,314.954,-183.873,-25.742,106.934,-156.940,-275.768,380.580,55.612,-5.018,146.510,23.799,-332.182,70.175,7.174,100.208,-66.415,-11.983,-97.932,225.473,382.840,33.227,72.899,306.273,-240.621,157.313,748.789,167.178,-168.820,669.106,-152.068
35,0,99.060,-595.436,-403.958,153.483,-427.967,-142.066,251.265,-403.253,-73.963,55.700,-452.681,-210.170,315.096,-183.639,-28.116,107.694,-157.124,-276.109,382.615,55.636,-7.231,149.975,23.159,-332.756,70.047,7.188,100.474,-66.306,-11.988,-98.213,226.877,382.714,35.527,77.839,306.779,-239.557,159.879,748.761,173.731,-164.410,669.278,-147.501
36,0,99.122,-596.916,-399.902,153.192,-428.568,-140.510,251.155,-403.177,-72.665,55.228,-453.958,-208.355,315.095,-183.630,-23.449,107.099,-159.403,-274.743,384.869,55.717,4.877,150.652,22.234,-332.138,69.964,7.199,100.731,-66.234,-11.991,-98.468,228.626,382.677,28.541,82.049,303.514,-241.314,160.313,748.692,156.753,-163.011,668.868,-148.706
37,0,98.934,-597.389,-399.757,152.529,-428.823,-140.454,250.306,-403.159,-72.321,54.752,-454.486,-208.587,315.097,-183.440,-23.514,108.547,-160.910,-274.681,384.514,55.835,5.420,152.269,21.183,-329.802,69.745,7.206,101.068,-66.026,-11.993,-98.836,228.951,382.217,28.812,86.317,300.030,-242.526,160.213,748.200,157.203,-161.828,667.016,-149.361
38,0,98.850,-597.671,-398.677,151.488,-430.151,-138.237,248.327,-404.321,-67.872,54.648,-455.981,-208.601,315.134,-183.464,-19.456,110.188,-163.234,-276.105,386.101,55.956,7.216,154.724,18.576,-330.766,69.129,7.209,101.667,-65.417,-11.991,-99.455,228.774,381.957,30.094,86.099,297.521,-243.095,160.745,748.164,157.608,-161.546,666.087,-155.625
39,0,98.771,-598.673,-392.411,150.554,-431.661,-129.429,246.960,-405.566,-56.736,54.148,-457.756,-202.122,315.088,-183.650,-6.934,110.275,-164.530,-272.199,387.835,55.933,18.902,154.992,16.654,-325.077,68.714,7.328,102.039,-65.016,-12.086,-99.854,228.342,382.004,30.056,85.418,295.635,-242.760,160.680,748.866,152.468,-161.417,665.685,-156.212
40,0,98.458,-600.089,-387.868,149.912,-433.002,-125.515,246.009,-406.921,-52.229,53.814,-459.083,-198.800,315.090,-184.237,-0.605,110.257,-165.542,-270.045,389.746,55.333,27.066,155.864,14.449,-323.242,68.252,7.402,102.501,-64.559,-12.142,-100.338,227.726,381.893,26.703,85.368,294.177,-243.041,160.563,750.771,138.491,-161.304,665.208,-157.043
41,0,97.736,-601.582,-385.344,149.080,-434.674,-122.104,245.065,-408.855,-48.773,53.095,-460.493,-195.435,315.070,-186.122,4.873,110.162,-166.553,-265.299,390.707,53.232,34.208,158.274,12.169,-318.455,67.973,7.480,102.906,-64.293,-12.206,-100.757,227.647,381.801,21.956,85.295,292.709,-243.035,160.514,751.266,131.393,-161.474,663.711,-157.046
42,0,96.852,-607.554,-379.169,147.951,-436.912,-118.129,243.867,-410.129,-43.931,52.034,-463.695,-192.328,315.056,-187.062,8.774,110.153,-170.770,-264.964,392.178,51.954,37.340,162.064,6.468,-319.302,67.735,7.514,103.250,-64.077,-12.233,-101.097,227.342,381.815,23.441,86.727,292.553,-242.334,160.602,751.476,133.537,-161.538,661.789,-155.481
43,0,96.261,-612.814,-372.924,147.204,-438.815,-114.318,243.344,-411.190,-40.100,51.064,-466.440,-188.536,314.959,-187.784,12.011,110.136,-173.356,-262.489,393.557,50.727,41.033,165.067,0.762,-319.326,67.668,7.563,103.617,-64.022,-12.276,-101.461,227.274,381.732,25.132,88.538,291.228,-242.748,160.810,751.471,134.698,-161.514,659.527,-155.461
44,0,96.019,-616.649,-370.385,145.893,-439.870,-112.210,243.103,-411.754,-38.513,48.682,-467.986,-185.907,316.346,-189.216,13.147,109.702,-174.937,-260.989,400.232,50.224,41.171,165.800,-3.762,-319.255,67.638,7.654,103.659,-63.998,-12.351,-101.498,221.865,383.193,26.173,89.401,293.141,-237.948,160.996,755.451,136.489,-161.312,659.573,-152.140
45,0,95.221,-621.363,-367.477,143.201,-442.083,-111.290,242.182,-413.660,-37.670,44.221,-470.507,-184.910,316.319,-191.051,11.698,102.365,-180.299,-262.549,402.775,49.180,38.099,165.541,-12.697,-331.398,67.680,7.681,103.778,-64.040,-12.391,-101.597,216.361,384.413,40.301,89.536,291.218,-244.427,161.511,757.818,148.715,-161.648,657.554,-161.478
46,0,95.270,-622.308,-364.546,142.059,-444.351,-107.968,242.145,-415.268,-33.050,41.972,-473.435,-182.885,317.354,-192.356,13.799,99.816,-186.225,-266.423,408.981,47.601,36.884,166.432,-23.214,-346.349,67.741,7.783,103.919,-64.097,-12.496,-101.708,213.964,388.141,45.932,90.025,290.504,-244.167,164.607,762.900,151.815,-161.837,657.487,-162.198
47,0,96.388,-628.647,-350.161,140.289,-449.401,-97.623,242.249,-418.299,-21.233,38.328,-480.503,-174.013,317.614,-194.253,23.136,91.495,-197.262,-266.533,413.662,44.548,41.145,167.143,-37.982,-352.458,68.260,7.865,104.148,-64.601,-12.576,-101.886,210.280,391.082,52.270,90.636,290.299,-245.548,165.968,766.118,159.904,-162.153,657.398,-165.335
48,0,100.161,-629.944,-345.148,140.502,-450.320,-91.785,243.205,-418.694,-12.914,37.799,-481.947,-170.655,319.525,-194.333,31.797,85.033,-200.894,-266.990,421.702,44.016,49.211,168.403,-40.833,-357.121,68.417,7.974,104.437,-64.767,-12.690,-102.141,206.934,393.040,50.920,92.127,290.371,-244.838,169.070,769.292,155.808,-162.116,657.998,-165.840
49,0,101.262,-634.030,-336.963,140.453,-454.240,-86.296,244.149,-420.187,-7.044,36.758,-488.292,-165.547,320.095,-194.751,32.568,80.598,-211.327,-267.044,422.091,42.651,47.220,169.203,-52.560,-361.135,68.620,8.054,104.678,-64.980,-12.760,-102.342,204.349,393.562,52.284,95.172,291.928,-241.294,169.532,770.034,158.109,-162.059,659.105,-165.239
50,0,101.852,-636.173,-337.182,140.832,-454.426,-87.028,245.779,-420.029,-7.718,35.885,-488.823,-166.339,320.956,-193.268,30.491,77.101,-213.915,-276.598,423.293,43.300,46.603,169.138,-56.401,-387.110,68.658,8.062,105.789,-65.018,-12.762,-103.358,204.764,393.464,51.508,98.483,292.754,-240.378,173.633,770.539,157.763,-161.501,659.528,-164.730
51,0,102.309,-638.297,-328.422,140.482,-456.643,-82.713,246.669,-420.279,-3.875,34.294,-493.008,-161.550,321.575,-193.254,31.494,72.304,-219.872,-277.363,424.332,43.329,45.201,169.135,-61.966,-389.810,68.737,8.076,106.145,-65.095,-12.774,-103.682,201.211,393.551,53.837,98.548,295.262,-236.742,174.008,772.362,160.040,-161.265,661.903,-158.372
52,0,103.479,-640.121,-315.335,140.830,-457.838,-74.058,247.877,-420.233,5.455,33.782,-495.443,-153.570,322.333,-193.103,37.922,66.777,-223.902,-276.306,426.601,43.012,47.922,168.576,-68.645,-386.288,68.767,8.155,106.260,-65.138,-12.840,-103.780,201.044,392.510,43.959,100.215,298.718,-229.094,174.339,772.007,136.408,-160.699,664.204,-153.580
53,0,103.526,-640.475,-310.676,139.481,-461.130,-67.274,247.716,-422.193,14.783,31.247,-500.067,-149.330,321.824,-193.652,45.165,57.943,-231.830,-281.524,427.584,39.831,50.332,164.745,-80.947,-409.388,68.780,8.169,106.557,-65.167,-12.853,-103.978,201.167,392.466,42.984,101.020,299.271,-227.822,174.299,771.830,136.846,-159.929,664.310,-153.402
54,0,107.125,-641.696,-308.729,139.536,-463.315,-66.858,247.949,-423.376,17.031,31.122,-503.254,-150.748,322.236,-193.741,46.001,56.198,-243.213,-288.301,429.537,38.134,49.804,163.328,-93.557,-418.688,68.714,8.194,107.547,-65.112,-12.889,-104.910,201.304,392.233,43.671,105.513,299.237,-227.727,178.538,771.611,138.061,-159.289,664.098,-154.881
55,0,109.539,-642.709,-307.311,139.961,-464.007,-68.137,248.954,-423.301,15.408,30.967,-504.714,-151.681,322.023,-192.875,44.285,54.803,-247.270,-294.603,428.839,38.222,45.328,163.136,-98.093,-429.709,68.708,8.186,108.769,-65.107,-12.885,-106.129,203.412,389.186,44.314,109.423,299.035,-227.973,180.860,770.513,138.935,-155.774,663.206,-155.848
56,0,110.095,-643.300,-306.277,140.349,-464.993,-68.864,250.096,-423.253,13.904,30.602,-506.734,-151.632,322.125,-192.548,43.717,51.835,-253.124,-302.694,429.360,38.288,41.614,161.991,-108.070,-447.613,68.660,8.188,109.401,-65.058,-12.889,-106.711,203.340,386.578,44.660,110.337,299.011,-227.388,182.396,768.460,139.582,-154.860,663.166,-156.723
57,0,111.947,-642.887,-301.046,141.113,-466.694,-61.600,251.457,-423.205,22.041,30.770,-510.183,-145.242,326.007,-192.987,53.736,52.189,-258.844,-300.716,436.477,37.900,58.271,162.278,-113.618,-441.307,68.577,8.454,109.431,-64.999,-13.145,-106.725,203.419,385.995,32.451,109.957,299.728,-222.899,184.027,768.386,113.812,-152.612,664.673,-155.701
58,0,112.798,-643.456,-289.818,142.127,-467.606,-56.962,253.495,-423.170,24.509,30.759,-512.041,-138.434,326.422,-192.978,53.184,51.175,-261.926,-300.255,436.060,35.901,41.341,164.028,-124.169,-448.605,68.607,8.462,109.498,-65.034,-13.150,-106.777,207.917,378.408,22.544,112.562,299.705,-222.396,186.121,759.677,105.352,-151.010,664.499,-155.144
59,0,115.706,-643.922,-281.252,143.009,-471.017,-46.828,254.470,-423.122,37.398,31.548,-518.913,-131.055,326.755,-192.945,65.731,50.358,-272.900,-299.746,439.505,34.288,62.725,164.016,-136.587,-457.427,68.509,8.935,109.546,-64.967,-13.594,-106.797,208.449,378.025,20.633,114.069,300.692,-217.425,193.015,759.720,103.905,-146.954,665.221,-146.718
60,0,116.499,-644.235,-277.851,143.824,-471.051,-45.518,256.196,-422.995,36.795,31.452,-519.108,-127.831,326.952,-192.803,61.751,49.671,-272.616,-299.731,439.281,34.265,62.016,164.874,-141.651,-459.369,68.580,9.013,109.547,-65.057,-13.666,-106.788,209.181,376.437,9.532,115.234,300.496,-217.606,192.248,757.080,85.508,-145.509,664.995,-147.144
