Frame,Sub Frame,head,,,chest,,,leftshoulder,,,rightshoulder,,,leftelbow,,,rightelbow,,,lefthand,,,righthand,,,lefthip,,,righthip,,,leftknee,,,rightknee,,,leftfoot,,,rightfoot,,
,,TX,TY,TZ,TX,TY,TZ,TX,TY,TZ,TX,TY,TZ,TX,TY,TZ,TX,TY,TZ,TX,TY,TZ,TX,TY,TZ,TX,TY,TZ,TX,TY,TZ,TX,TY,TZ,TX,TY,TZ,TX,TY,TZ,TX,TY,TZ
Frames,Frames,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
61,0,118.224,-644.509,-271.649,144.013,-472.424,-41.956,256.419,-422.619,40.429,31.607,-522.230,-124.340,327.179,-192.286,64.812,45.671,-281.392,-301.841,440.322,34.354,67.138,164.192,-149.824,-472.677,68.506,9.103,109.565,-65.006,-13.744,-106.795,214.583,373.544,11.661,120.850,300.830,-217.461,194.269,755.390,92.336,-142.521,664.802,-146.167
62,0,121.222,-645.375,-259.607,145.116,-473.619,-34.923,256.428,-422.676,51.178,33.804,-524.563,-121.025,328.683,-192.480,75.766,46.325,-285.268,-302.983,449.234,34.288,78.258,164.181,-152.836,-480.106,67.959,9.244,109.724,-64.481,-13.875,-106.893,217.172,372.050,12.506,127.861,301.582,-216.961,198.541,755.507,96.546,-136.863,664.845,-145.812
63,0,125.748,-646.531,-261.166,146.225,-474.828,-35.404,256.317,-423.072,52.222,36.133,-526.584,-123.030,330.224,-193.482,82.658,46.893,-287.166,-310.449,456.187,32.760,90.678,164.581,-158.105,-490.798,67.289,9.270,109.958,-63.855,-13.890,-107.053,220.568,370.128,21.457,138.976,305.052,-213.181,205.554,754.474,109.612,-126.487,665.087,-132.102
64,0,129.281,-647.750,-265.446,146.798,-476.422,-38.844,255.949,-424.578,49.093,37.647,-528.265,-126.781,330.810,-195.861,80.264,46.824,-293.542,-328.022,459.939,31.395,91.024,164.559,-172.579,-513.074,66.805,9.256,110.296,-63.407,-13.860,-107.308,224.033,366.194,37.625,142.541,305.432,-213.396,210.839,751.441,139.775,-122.930,664.909,-130.153
65,0,131.867,-647.665,-267.930,147.902,-477.467,-41.147,255.978,-425.484,47.336,39.826,-529.450,-129.631,332.633,-197.220,78.618,47.014,-299.458,-339.358,465.324,30.280,95.221,164.071,-185.758,-528.068,66.256,9.213,110.426,-62.891,-13.804,-107.403,226.133,362.886,49.933,148.268,305.382,-213.589,218.107,748.068,158.449,-118.792,663.439,-128.454
66,0,133.929,-647.490,-269.735,148.275,-478.407,-41.790,256.188,-425.790,46.607,40.363,-531.025,-130.186,335.055,-198.896,76.985,46.581,-306.205,-345.236,470.059,27.915,94.381,163.077,-198.530,-537.704,65.978,9.142,110.459,-62.625,-13.711,-107.417,226.998,360.275,56.018,150.181,305.380,-211.110,221.672,746.780,166.045,-115.312,663.206,-125.895
67,0,135.418,-647.417,-271.597,149.332,-478.406,-44.901,256.878,-425.670,42.372,41.785,-531.143,-132.173,336.352,-199.021,74.256,46.753,-309.258,-350.587,468.855,27.895,91.835,162.998,-202.133,-544.123,65.846,9.015,110.484,-62.517,-13.554,-107.432,230.677,356.853,59.618,152.839,305.283,-209.593,223.055,743.110,172.827,-113.235,661.197,-117.894
68,0,135.760,-647.492,-272.216,150.034,-480.103,-45.190,257.232,-426.283,42.102,42.836,-533.923,-132.482,338.082,-202.309,74.445,45.797,-322.746,-352.857,472.904,24.609,97.828,160.993,-220.627,-549.323,65.385,8.906,110.947,-62.051,-13.413,-107.860,232.703,354.053,69.659,155.333,305.305,-209.267,226.361,742.805,177.844,-109.264,660.550,-118.531
69,0,136.861,-647.478,-271.117,150.505,-481.722,-45.649,258.077,-426.539,41.524,42.933,-536.905,-132.821,339.772,-204.306,75.346,42.801,-335.664,-360.329,475.058,21.184,102.435,158.171,-239.442,-568.046,65.193,8.790,111.627,-61.870,-13.282,-108.482,234.325,352.836,81.958,157.121,305.203,-209.258,231.056,743.119,189.660,-106.090,659.521,-119.784
70,0,137.697,-647.903,-265.779,150.834,-484.305,-45.828,258.147,-426.858,40.921,43.522,-541.752,-132.576,340.137,-206.341,79.553,42.293,-347.924,-364.166,477.486,18.738,113.357,157.024,-251.999,-578.484,64.819,8.755,112.156,-61.515,-13.237,-108.955,235.865,352.019,92.326,161.709,305.267,-207.641,235.877,743.350,204.792,-102.178,659.368,-120.464
71,0,138.712,-648.134,-261.831,151.604,-486.615,-45.657,258.149,-427.784,41.226,45.060,-545.446,-132.541,340.227,-209.585,82.010,39.958,-363.392,-370.560,480.104,16.646,114.867,154.799,-269.407,-590.226,64.319,8.682,112.570,-61.044,-13.152,-109.314,238.577,350.195,91.543,163.789,305.443,-204.276,238.134,742.827,199.212,-99.569,659.056,-120.000
72,0,138.498,-648.414,-260.624,151.530,-487.368,-45.629,258.143,-428.582,40.878,44.917,-546.153,-132.136,341.738,-212.944,84.448,31.217,-369.010,-379.482,483.754,14.809,119.437,141.764,-287.594,-609.307,64.238,8.490,112.596,-60.974,-12.931,-109.331,239.081,348.130,87.717,162.851,306.087,-203.959,237.597,741.796,193.931,-97.060,658.838,-118.368
73,0,139.842,-648.267,-256.871,151.665,-487.707,-44.373,258.096,-429.040,41.132,45.233,-546.374,-129.879,342.268,-215.695,87.095,28.933,-379.867,-383.394,483.183,11.783,123.634,135.623,-311.993,-620.203,63.891,8.384,112.565,-60.671,-12.822,-109.258,238.863,347.410,90.618,164.412,305.808,-201.856,237.448,737.470,202.406,-91.689,655.347,-115.495
74,0,139.843,-647.821,-256.846,151.743,-488.091,-44.971,257.847,-429.079,39.759,45.639,-547.104,-129.701,341.736,-217.320,86.388,27.847,-394.243,-390.914,482.418,9.969,122.204,129.183,-327.490,-635.308,63.606,8.054,112.446,-60.415,-12.473,-109.076,239.274,343.786,92.789,165.494,305.315,-200.996,238.242,734.532,204.916,-87.714,652.573,-114.039
75,0,140.161,-648.103,-248.036,151.623,-488.913,-42.861,255.739,-429.366,40.328,47.507,-548.461,-126.051,339.201,-217.727,90.860,28.384,-397.816,-391.776,482.172,8.411,136.198,123.176,-344.546,-643.347,63.072,8.021,112.029,-59.948,-12.452,-108.513,239.432,343.163,94.620,166.066,304.993,-198.044,239.208,733.374,210.737,-87.038,651.181,-112.239
76,0,141.635,-648.145,-230.282,151.549,-489.577,-35.250,253.645,-429.479,45.399,49.452,-549.674,-115.899,337.639,-221.075,96.186,28.932,-407.056,-389.422,481.766,4.460,143.484,116.694,-362.390,-647.463,62.160,7.994,111.268,-59.128,-12.438,-107.582,240.627,341.431,92.986,166.885,303.624,-191.739,240.498,730.530,209.459,-84.724,648.677,-111.977
77,0,142.543,-648.137,-227.920,149.527,-490.021,-34.338,247.549,-429.509,47.815,51.505,-550.533,-116.491,335.368,-223.292,98.690,32.844,-411.971,-395.679,481.247,1.479,146.815,111.758,-367.938,-658.229,61.016,7.977,110.657,-58.104,-12.426,-106.799,242.456,338.235,89.057,167.023,303.554,-187.559,240.343,725.777,199.008,-83.305,647.242,-112.218
78,0,142.745,-647.425,-221.882,148.060,-490.922,-31.568,243.754,-429.329,49.534,52.365,-552.515,-112.671,333.595,-225.305,100.603,34.124,-426.691,-395.663,480.836,-1.284,152.161,94.976,-387.880,-663.589,60.211,7.994,109.199,-57.394,-12.456,-105.165,245.296,334.503,80.297,166.714,301.486,-186.872,240.125,720.511,185.672,-81.905,641.741,-112.460
79,0,143.095,-646.702,-223.228,147.538,-490.396,-30.695,242.256,-428.149,49.259,52.821,-552.643,-110.650,333.089,-225.950,99.672,34.663,-433.698,-396.438,480.781,-4.967,150.540,82.234,-404.720,-667.923,59.980,7.984,107.486,-57.204,-12.447,-103.314,249.023,334.152,75.923,166.771,300.745,-187.472,240.155,717.246,183.123,-80.651,639.410,-112.784
80,0,145.818,-643.995,-223.115,148.374,-489.894,-30.054,241.561,-427.377,50.291,55.186,-552.410,-110.398,333.075,-225.616,99.977,38.827,-433.401,-398.703,481.829,-5.140,152.387,86.044,-417.627,-670.129,59.497,7.975,106.924,-56.722,-12.448,-102.731,251.811,333.899,72.108,168.029,300.271,-183.756,241.221,715.923,180.955,-80.058,638.962,-110.253
81,0,145.920,-643.459,-224.989,147.144,-489.891,-31.848,239.201,-427.556,49.649,55.086,-552.226,-113.345,332.805,-227.736,100.119,41.682,-433.012,-408.378,482.790,-10.272,154.990,86.557,-431.056,-678.200,59.454,7.873,106.670,-56.681,-12.399,-102.446,253.330,330.763,62.517,167.213,300.324,-174.005,241.073,711.374,161.904,-80.394,639.249,-101.998
82,0,145.648,-643.036,-225.901,146.610,-489.254,-34.428,238.506,-427.566,46.262,54.714,-550.941,-115.118,331.625,-227.907,91.854,41.676,-429.996,-411.320,482.690,-12.880,146.670,85.820,-442.809,-679.783,59.443,7.743,105.821,-56.668,-12.329,-101.624,254.136,326.970,56.341,166.949,300.404,-156.171,240.381,703.209,158.857,-80.892,637.871,-78.406
83,0,143.825,-638.849,-246.011,144.747,-486.067,-46.420,237.240,-427.572,32.585,52.254,-544.562,-125.425,329.682,-227.825,74.958,41.357,-426.399,-416.184,482.573,-12.301,125.169,86.455,-454.328,-679.006,59.820,7.190,105.270,-56.993,-11.865,-101.130,255.627,318.067,47.425,165.135,299.927,-160.183,237.789,686.066,153.804,-83.101,634.859,-80.472
84,0,138.522,-633.903,-258.856,141.197,-482.503,-50.593,236.802,-427.601,26.105,45.592,-537.405,-127.291,329.043,-227.660,69.763,39.584,-422.707,-416.412,483.349,-11.983,118.503,79.197,-469.741,-678.899,60.434,6.533,105.194,-57.505,-11.288,-101.067,263.021,316.698,49.152,165.483,299.937,-163.096,240.165,685.308,159.131,-86.167,634.532,-75.813
85,0,137.839,-632.212,-257.856,138.792,-481.352,-50.236,233.297,-426.829,26.764,44.288,-535.874,-127.237,327.473,-226.916,71.021,41.029,-422.378,-420.431,484.961,-11.581,127.833,79.316,-484.483,-687.780,60.444,6.164,104.054,-57.514,-10.955,-99.884,267.581,314.250,46.053,165.758,303.720,-161.497,240.371,684.492,154.428,-86.579,635.410,-72.928
86,0,136.358,-629.632,-245.387,136.605,-480.816,-43.855,228.960,-426.836,32.955,44.250,-534.795,-120.664,323.552,-226.999,79.865,39.576,-422.288,-418.578,484.854,-13.847,143.603,67.679,-508.341,-683.712,59.810,5.951,103.521,-56.870,-10.758,-99.360,269.486,309.725,45.734,169.182,303.676,-162.589,240.410,680.432,151.542,-85.602,634.996,-77.129
87,0,134.591,-629.956,-236.270,133.727,-480.907,-39.074,225.609,-426.783,40.439,41.845,-535.030,-118.586,325.700,-226.081,87.404,39.074,-427.732,-417.353,496.119,-13.523,150.145,65.988,-530.174,-681.058,59.544,5.526,103.447,-56.545,-10.346,-99.290,276.581,307.720,46.696,176.612,303.928,-161.198,240.943,680.113,151.705,-82.328,635.154,-77.398
88,0,134.617,-630.175,-236.579,131.429,-481.430,-38.843,222.189,-426.703,41.584,40.670,-536.157,-119.270,327.152,-226.153,91.026,36.175,-448.566,-422.286,506.108,-14.853,155.023,55.905,-549.230,-688.307,59.051,4.691,103.447,-56.007,-9.548,-99.293,277.596,302.879,54.767,181.181,303.860,-151.026,240.110,672.420,153.748,-80.817,634.048,-65.921
89,0,141.570,-629.881,-225.678,130.279,-481.911,-32.797,219.753,-427.240,53.666,40.805,-536.583,-119.259,327.760,-226.423,108.477,37.701,-455.786,-421.827,507.616,-19.322,172.319,58.730,-567.411,-685.954,58.001,4.161,103.674,-54.837,-9.135,-99.551,282.202,297.707,55.045,192.459,302.894,-149.959,238.140,667.913,151.214,-77.340,630.008,-65.703
90,0,147.271,-618.621,-225.444,130.171,-481.939,-33.857,218.255,-427.901,54.982,42.087,-535.976,-122.695,327.982,-226.646,113.847,44.085,-454.773,-425.612,508.290,-21.067,178.581,60.292,-579.468,-687.065,57.212,3.683,103.873,-53.899,-8.762,-99.729,288.228,293.583,46.219,196.217,302.707,-150.030,238.609,663.695,140.125,-73.205,627.320,-60.520
91,0,151.337,-619.662,-226.936,129.178,-482.521,-42.217,216.240,-429.809,53.044,42.115,-535.233,-137.477,327.100,-228.177,114.837,41.952,-460.050,-437.263,508.314,-25.061,177.932,47.837,-591.431,-694.948,57.013,2.788,104.567,-53.645,-8.030,-100.370,289.621,290.582,45.924,196.785,301.149,-148.747,234.882,661.832,140.406,-69.731,624.357,-49.553
92,0,156.173,-620.578,-197.640,130.275,-483.100,-36.945,214.693,-430.896,63.199,45.858,-535.305,-137.088,326.506,-228.557,131.765,38.042,-459.507,-423.304,509.357,-27.545,197.769,42.183,-602.045,-662.250,54.749,2.570,105.664,-51.127,-7.835,-101.655,290.949,284.192,40.515,205.337,299.625,-150.956,233.193,660.953,139.596,-64.509,620.145,-47.806
93,0,155.602,-616.802,-212.020,130.598,-483.058,-36.853,215.219,-430.772,62.479,45.976,-535.343,-136.184,326.603,-228.719,130.021,34.480,-470.646,-422.915,510.774,-30.969,191.333,36.041,-628.117,-663.245,54.761,2.484,105.843,-51.143,-7.754,-101.783,292.555,278.669,29.836,203.550,299.486,-153.371,231.132,652.318,129.236,-65.384,619.682,-47.805
94,0,155.150,-617.329,-213.885,130.765,-483.289,-32.299,215.538,-429.153,64.238,45.993,-537.425,-128.836,327.157,-228.695,129.142,29.971,-501.979,-417.284,514.989,-32.828,187.781,29.999,-661.282,-661.428,54.769,2.450,105.708,-51.152,-7.709,-101.602,295.629,277.566,23.629,201.781,300.610,-153.628,228.255,652.446,123.141,-65.980,620.021,-44.411
95,0,154.819,-617.714,-214.900,131.579,-482.893,-28.658,215.796,-427.466,68.565,47.362,-538.319,-125.881,328.743,-228.681,133.725,28.641,-515.114,-409.729,520.147,-35.409,188.012,26.752,-679.485,-654.681,54.634,2.400,105.924,-50.985,-7.644,-101.782,297.860,270.661,25.210,201.945,300.482,-158.080,227.526,646.432,125.469,-65.243,620.118,-44.944
96,0,155.280,-618.563,-216.464,133.678,-482.242,-18.346,217.131,-424.826,79.477,50.226,-539.658,-116.169,333.244,-228.654,149.827,28.745,-526.382,-391.893,526.637,-38.775,205.158,25.554,-699.611,-632.162,54.427,2.402,106.076,-50.742,-7.632,-101.922,300.945,271.886,29.017,201.231,300.550,-161.752,227.177,645.463,139.957,-65.093,620.345,-46.192
97,0,155.890,-619.026,-217.668,134.853,-481.919,-16.241,217.491,-423.557,81.367,52.216,-540.280,-113.850,334.249,-228.939,148.655,24.784,-532.935,-389.929,525.821,-41.431,201.949,19.997,-707.518,-629.531,54.062,2.366,106.385,-50.321,-7.582,-102.213,300.416,261.937,30.008,203.309,299.149,-163.639,220.844,637.442,138.799,-64.980,618.564,-49.005
98,0,155.844,-620.686,-216.411,136.586,-482.024,-11.406,218.987,-420.809,84.344,54.185,-543.239,-107.156,336.121,-229.294,151.354,23.167,-553.315,-382.174,526.037,-48.345,207.940,19.664,-734.456,-620.893,53.739,2.324,106.449,-49.968,-7.513,-102.273,299.764,255.261,31.307,206.159,297.386,-164.990,217.855,632.710,140.088,-63.816,617.769,-50.017
99,0,155.821,-621.723,-215.406,137.209,-483.016,-7.901,219.606,-418.537,87.088,54.813,-547.494,-102.891,336.358,-229.608,159.668,20.727,-558.606,-374.355,525.469,-54.265,223.762,17.763,-740.084,-608.963,53.627,2.311,106.478,-49.857,-7.486,-102.294,298.879,250.994,32.208,205.495,297.329,-167.622,214.028,630.934,139.839,-62.578,617.870,-54.388
100,0,156.927,-621.809,-215.807,138.128,-482.667,-8.655,219.797,-417.557,86.065,56.458,-547.777,-103.374,336.328,-229.998,157.905,17.779,-557.846,-375.578,526.184,-56.435,220.994,7.355,-740.001,-611.241,53.341,2.290,106.514,-49.543,-7.460,-102.328,298.742,244.328,34.780,206.390,294.431,-168.115,211.519,623.864,140.194,-60.383,616.058,-55.005
101,0,157.039,-621.388,-219.469,138.281,-482.191,-9.027,219.873,-416.684,85.713,56.690,-547.698,-103.767,336.292,-230.172,155.649,14.632,-559.539,-376.190,525.723,-59.228,219.213,-1.129,-746.765,-610.144,53.127,2.236,106.540,-49.311,-7.390,-102.360,298.403,238.032,34.920,209.524,287.724,-168.730,209.322,615.345,139.209,-58.097,605.947,-56.693
102,0,156.960,-618.934,-220.002,138.324,-482.124,-9.398,220.000,-416.573,84.705,56.649,-547.675,-103.500,336.261,-231.314,154.312,8.103,-561.994,-374.206,526.151,-65.839,216.956,-13.510,-751.902,-606.923,52.632,2.104,106.593,-48.806,-7.211,-102.406,298.060,228.572,32.480,213.688,281.144,-170.843,204.681,607.784,136.025,-53.439,599.517,-60.002
103,0,157.246,-617.299,-219.379,138.471,-481.816,-7.753,220.063,-415.997,87.043,56.879,-547.634,-102.550,336.125,-231.428,160.278,4.595,-560.756,-368.109,526.311,-70.833,223.941,-24.365,-749.606,-596.971,52.145,2.094,106.792,-48.315,-7.193,-102.599,298.324,225.236,31.854,215.453,276.393,-173.709,200.772,604.325,133.317,-50.795,595.531,-65.309
104,0,157.182,-617.414,-216.365,138.481,-481.916,-4.911,219.945,-415.960,89.275,57.016,-547.872,-99.097,336.210,-234.237,161.828,2.485,-570.477,-357.398,526.466,-77.481,223.398,-33.100,-763.914,-581.422,51.399,2.011,106.918,-47.556,-7.071,-102.729,298.226,220.700,32.042,216.950,272.951,-175.868,194.386,600.405,134.291,-48.246,594.843,-66.804
105,0,157.153,-617.547,-205.983,137.981,-482.404,5.021,218.602,-415.828,100.587,57.361,-548.980,-90.544,335.472,-236.144,184.170,2.062,-578.255,-340.962,525.321,-82.225,256.276,-38.752,-778.853,-559.006,49.938,1.982,107.044,-46.180,-7.002,-102.827,298.334,220.428,31.897,220.347,271.938,-177.356,189.582,596.640,134.384,-46.979,589.008,-70.015
106,0,157.346,-617.650,-204.963,136.874,-482.617,6.795,216.124,-415.860,103.517,57.623,-549.373,-89.928,333.874,-237.058,192.146,1.424,-576.517,-343.560,524.782,-85.113,268.157,-41.171,-772.192,-566.384,48.404,1.963,107.324,-44.718,-6.962,-103.049,298.404,219.605,37.757,223.986,268.093,-177.510,185.540,592.243,142.359,-46.273,581.545,-69.933
107,0,157.343,-617.641,-197.252,137.157,-482.345,13.568,216.241,-414.751,108.863,58.073,-549.940,-81.727,334.270,-237.590,191.533,0.762,-588.577,-328.053,524.431,-86.537,259.452,-44.405,-791.849,-547.135,47.737,1.868,107.788,-44.035,-6.799,-103.488,298.293,220.128,38.491,225.660,267.717,-179.269,183.689,590.635,151.332,-45.406,582.910,-70.185
108,0,157.321,-614.790,-195.394,137.743,-482.534,18.316,216.322,-414.771,113.048,59.164,-550.298,-76.416,335.442,-241.845,197.187,0.924,-601.793,-313.180,524.911,-89.748,266.391,-47.236,-799.010,-519.724,46.866,1.378,109.050,-43.069,-6.198,-104.733,298.258,215.904,43.128,232.146,262.672,-181.439,180.529,585.130,157.482,-41.197,579.623,-67.523
109,0,157.340,-614.732,-191.113,138.106,-484.134,23.145,216.952,-416.393,117.738,59.261,-551.874,-71.447,337.187,-252.135,202.134,0.437,-612.904,-300.223,524.329,-102.668,267.501,-52.982,-808.983,-501.561,45.886,1.246,110.714,-42.007,-5.963,-106.358,297.399,217.641,43.080,233.819,250.109,-185.581,177.324,584.922,161.983,-38.189,569.393,-64.405
110,0,158.217,-613.275,-173.632,138.415,-485.293,35.523,217.065,-416.360,128.814,59.764,-554.225,-57.768,337.831,-253.867,217.082,0.675,-619.432,-280.048,524.198,-106.534,283.070,-56.934,-814.843,-486.011,44.798,1.104,112.072,-40.820,-5.741,-107.694,297.339,218.071,45.830,236.989,248.042,-188.672,178.098,583.029,171.577,-33.699,565.166,-61.229
111,0,158.572,-614.364,-171.506,139.057,-486.759,39.997,218.300,-416.721,130.730,59.814,-556.796,-50.735,342.148,-259.594,214.434,0.876,-638.035,-247.255,526.020,-119.672,276.353,-60.137,-840.313,-420.854,44.291,0.411,113.111,-40.259,-4.689,-108.853,299.139,216.285,46.488,238.112,247.870,-190.807,179.092,571.328,187.991,-29.449,566.976,-47.197
112,0,169.065,-614.389,-155.136,141.384,-489.408,42.568,221.754,-417.330,132.511,61.015,-561.486,-47.376,347.686,-266.024,211.546,3.573,-655.800,-231.827,528.000,-135.289,272.467,-61.675,-863.735,-392.261,43.862,-0.225,114.502,-39.714,-3.792,-110.448,300.100,213.611,49.868,242.652,237.855,-196.327,179.440,559.778,200.989,-21.737,560.613,-39.986
113,0,173.805,-613.265,-160.336,141.721,-489.616,39.723,222.401,-417.925,130.737,61.042,-561.308,-51.291,347.342,-266.959,205.471,1.883,-647.588,-246.449,525.237,-132.984,247.955,-69.277,-853.203,-418.639,43.729,-0.984,115.065,-39.518,-2.874,-111.082,301.816,209.372,52.942,250.903,233.576,-196.331,179.903,551.922,204.886,-18.607,557.372,-30.950
114,0,177.543,-612.558,-163.529,143.008,-490.254,37.608,224.606,-418.934,127.909,61.411,-561.574,-52.693,350.292,-273.800,195.745,3.400,-658.235,-247.541,526.873,-142.474,230.344,-67.889,-864.601,-404.809,43.502,-1.938,116.642,-39.198,-1.799,-112.826,302.019,208.548,55.202,253.646,228.920,-199.265,180.214,549.170,206.683,-15.686,556.022,-33.504
115,0,179.561,-611.071,-163.880,142.957,-490.374,34.981,224.607,-419.365,125.335,61.308,-561.382,-55.373,350.468,-275.915,190.350,3.629,-662.464,-248.341,525.914,-145.353,223.518,-72.952,-876.177,-397.156,43.251,-2.902,117.703,-38.847,-0.708,-113.989,303.133,207.297,56.856,256.771,227.963,-201.997,180.329,545.839,209.616,-13.207,551.256,-33.527
116,0,178.776,-611.320,-161.909,142.898,-490.720,36.180,224.792,-419.601,124.613,61.004,-561.840,-52.254,350.734,-278.240,190.155,3.680,-670.360,-216.710,525.825,-148.934,222.684,-74.690,-884.808,-339.280,43.141,-3.503,117.905,-38.704,0.036,-114.244,305.952,202.174,56.536,257.732,220.502,-202.760,180.594,538.977,206.452,-9.342,548.363,-32.600
117,0,179.077,-611.230,-143.137,143.289,-490.821,48.548,223.509,-419.609,137.109,63.068,-562.034,-40.013,349.706,-279.264,203.392,9.297,-673.086,-191.016,523.546,-152.030,233.953,-73.050,-886.155,-303.952,42.213,-3.814,117.992,-37.713,0.406,-114.364,306.996,194.186,57.001,260.137,219.880,-202.327,180.068,533.691,204.323,-4.229,547.462,-30.623
118,0,182.828,-612.506,-129.473,142.619,-490.792,49.510,221.906,-419.581,140.911,63.332,-562.004,-41.892,345.907,-283.620,206.765,9.395,-669.236,-203.762,513.599,-164.822,237.421,-78.018,-881.747,-333.002,41.955,-4.035,118.231,-37.448,0.631,-114.598,307.105,189.056,56.402,260.410,216.574,-202.231,175.588,524.702,202.738,-2.360,543.442,-30.481
119,0,184.732,-613.249,-122.955,142.644,-491.064,49.498,220.778,-419.545,141.330,64.510,-562.583,-42.333,343.472,-284.468,206.275,9.712,-679.025,-195.342,511.136,-166.661,237.481,-79.419,-896.007,-304.250,41.309,-4.328,118.699,-36.746,0.925,-115.156,306.202,188.780,56.936,260.832,212.588,-202.042,172.372,524.610,202.870,-0.988,541.638,-29.759
120,0,191.839,-611.170,-127.518,143.324,-490.967,46.553,220.798,-419.290,139.059,65.849,-562.644,-45.953,344.029,-285.084,200.182,9.671,-680.541,-204.800,511.436,-166.661,230.897,-79.690,-897.742,-320.762,40.828,-4.706,119.611,-36.198,1.318,-116.188,306.046,189.622,57.843,262.052,212.839,-201.961,171.273,524.612,203.847,-0.080,541.223,-30.011
121,0,194.886,-608.617,-120.606,143.648,-490.945,44.442,220.666,-418.834,136.146,66.631,-563.056,-47.262,344.028,-285.988,192.569,7.731,-685.193,-205.344,511.574,-167.291,225.981,-86.827,-907.184,-314.237,40.359,-5.068,120.385,-35.632,1.685,-117.099,306.053,190.081,58.391,262.920,213.223,-201.845,168.630,523.588,204.241,0.091,539.296,-30.240
122,0,195.157,-609.222,-122.775,144.719,-491.155,43.649,220.929,-418.812,135.374,68.510,-563.498,-48.076,346.159,-290.226,194.689,7.809,-687.305,-208.249,513.092,-172.859,232.803,-88.235,-907.527,-325.503,39.969,-5.279,120.803,-35.220,1.909,-117.503,306.013,186.458,61.239,264.072,211.314,-201.794,168.911,518.611,209.873,1.726,539.066,-30.222
123,0,197.916,-604.492,-102.301,147.140,-491.179,53.064,218.753,-418.184,147.148,75.527,-564.175,-41.020,346.239,-294.966,225.233,12.455,-685.650,-196.908,514.402,-180.542,284.553,-86.955,-905.966,-315.963,38.016,-5.196,121.196,-33.242,1.820,-117.867,305.789,183.688,66.285,264.120,212.022,-202.343,166.608,514.534,216.268,4.174,539.348,-31.953
124,0,197.262,-599.876,-134.844,146.203,-490.662,31.606,218.714,-418.234,124.239,73.693,-563.091,-61.027,345.980,-296.375,204.089,6.870,-684.342,-215.730,514.734,-180.967,263.078,-94.451,-904.282,-328.728,38.212,-5.491,121.282,-33.413,2.075,-117.928,302.964,184.482,66.275,263.895,212.520,-202.542,160.586,514.234,218.851,3.488,536.816,-30.779
125,0,197.179,-596.789,-134.794,145.492,-490.187,31.769,217.490,-418.028,124.364,73.494,-562.347,-60.827,345.450,-299.844,203.765,6.770,-690.942,-208.526,514.596,-185.630,261.412,-96.056,-920.857,-306.828,37.961,-5.850,121.296,-33.170,2.431,-117.944,303.259,182.445,65.972,264.370,209.371,-202.519,161.045,512.625,218.387,6.461,531.836,-30.009
126,0,197.076,-591.685,-134.895,144.814,-489.760,31.531,216.320,-417.724,123.069,73.307,-561.796,-60.006,343.211,-304.374,214.780,5.373,-690.273,-206.172,514.693,-194.672,301.757,-96.035,-919.713,-309.558,37.442,-6.119,121.256,-32.660,2.765,-117.897,303.623,176.975,68.349,267.033,208.878,-202.480,161.539,505.784,218.614,13.861,525.336,-30.127
127,0,200.561,-586.124,-122.395,145.094,-489.300,36.589,213.811,-416.827,129.060,76.377,-561.772,-55.882,343.101,-304.648,222.896,8.483,-693.592,-196.967,514.413,-198.022,303.494,-95.173,-924.243,-293.040,35.902,-6.128,121.347,-31.098,2.768,-118.007,303.307,173.290,78.108,267.696,208.531,-202.664,158.974,500.650,225.805,16.318,523.070,-31.214
128,0,201.204,-583.650,-121.551,140.396,-487.787,35.407,204.650,-415.116,128.103,76.141,-560.458,-57.289,334.989,-303.897,220.913,7.977,-692.599,-198.838,506.517,-200.039,297.850,-97.056,-923.253,-301.421,34.500,-6.223,121.348,-29.718,2.849,-118.008,303.021,168.321,77.570,269.810,199.919,-202.640,154.333,495.610,225.039,19.611,511.581,-31.855
129,0,200.913,-582.294,-119.506,138.895,-487.291,34.787,200.502,-414.732,126.821,77.288,-559.851,-57.248,330.973,-303.542,214.170,7.451,-692.403,-198.606,505.395,-198.598,288.253,-98.320,-923.210,-300.219,32.989,-6.327,121.245,-28.185,2.929,-117.927,303.347,169.341,82.227,270.096,198.454,-202.655,154.861,497.153,228.968,20.459,510.737,-30.845
130,0,196.136,-585.585,-83.787,137.388,-488.403,49.857,197.651,-414.734,136.106,77.126,-562.072,-36.391,315.962,-304.292,213.728,6.273,-691.779,-173.810,480.819,-214.505,273.682,-96.641,-921.732,-270.684,32.028,-5.985,121.419,-27.230,2.554,-118.154,303.251,169.374,91.059,269.906,194.382,-199.823,148.928,497.739,227.707,19.573,507.092,-36.425
131,0,198.755,-585.322,-84.475,136.490,-487.604,47.102,194.521,-414.603,135.836,78.459,-560.606,-41.632,310.681,-304.666,213.498,5.074,-691.496,-176.886,481.679,-212.168,273.001,-100.633,-922.960,-280.588,31.139,-6.137,121.419,-26.375,2.681,-118.155,304.286,165.042,92.613,274.175,190.354,-199.988,147.725,490.788,231.269,21.971,506.063,-35.220
