PEAK1=206,left_hand_TZ,Ball Toss
PEAK2=301,right_hand_TZ,Follow Through
SNAPSHOT=start_pose,206
SNAPSHOT=hand_cross,273
SNAPSHOT=flat_racket_arm,0
SNAPSHOT=peak_racket_arm,0
SNAPSHOT=contact,303
SNAPSHOT=hand_cross_2,347
SNAPSHOT=racket_deceleration,303
SNAPSHOT=finish_pose,338
,,head,,,chest,,,left_shoulder,,,right_shoulder,,,left_elbow,,,right_elbow,,,left_hand,,,right_hand,,,left_hip,,,right_hip,,,left_knee,,,right_knee,,,left_foot,,,right_foot,,
,,TX,TY,TZ,TX,TY,TZ,TX,TY,TZ,TX,TY,TZ,TX,TY,TZ,TX,TY,TZ,TX,TY,TZ,TX,TY,TZ,TX,TY,TZ,TX,TY,TZ,TX,TY,TZ,TX,TY,TZ,TX,TY,TZ,TX,TY,TZ
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
1,0,277.067,-304.679,1402.03,152.044,-135.622,1321.57,262.782,-124.522,1257.25,41.3056,-146.723,1385.89,205.789,-91.124,1033.12,-118.744,-177.49,1137.63,160.565,-91.997,798.295,-138.083,-219.81,928.825,92.5231,56.3385,873.773,-88.3697,-55.7761,909.033,144.827,18.6323,472.948,-98.1669,-103.559,592.337,274.428,95.3223,89.5929,-200.304,-27.0379,146.737
2,0,276.859,-307.157,1402.52,150.688,-139.808,1319.6,262.306,-126.467,1256.96,39.0695,-153.148,1382.24,203.68,-94.1481,1032.83,-120.969,-183.458,1133.42,160.565,-94.3426,793.923,-138.412,-222.627,922.137,92.5958,56.3994,873.868,-88.4416,-55.8944,908.995,144.289,38.4562,468.756,-98.1784,-118.441,586.941,274.874,108.544,80.655,-199.52,-57.9792,130.969
3,0,277.172,-307.513,1402.47,148.954,-141.111,1318.43,261.239,-126.763,1257.21,36.6687,-155.459,1379.65,202.76,-95.5804,1033.47,-120.952,-184.528,1129.27,157.875,-95.738,792.071,-138.983,-219.957,914.425,92.6849,56.3438,873.904,-88.5221,-55.8866,908.994,134.719,46.0466,463.065,-101.504,-129.012,586.996,274.835,107.899,72.9353,-197.905,-90.0834,124.974
4,0,277.422,-318.826,1399.16,147.704,-151.046,1315.65,261.173,-138.265,1256.27,34.2352,-163.826,1375.04,202.707,-111.329,1032.48,-119.581,-191.625,1124.34,156.07,-109.479,786.544,-139.128,-220.2,905.481,93.1347,55.3133,874.11,-89.0138,-55.0858,908.874,133.546,44.2428,457.989,-107.099,-125.556,581.49,275.306,99.0129,67.2466,-196.685,-80.8686,115.981
5,0,277.635,-319.396,1398.84,146.436,-150.494,1314.55,261.156,-137.955,1256.03,31.7156,-163.033,1373.07,202.807,-110.126,1032.35,-119.488,-190.5,1120.47,156.138,-109.28,782.989,-139.414,-214.506,901.693,93.2702,53.9156,874.372,-89.1866,-53.8324,908.659,132.787,42.8343,454.78,-110.744,-98.9769,573.444,279.32,92.8569,66.1749,-195.182,-77.85,105.512
6,0,277.169,-323.706,1398.64,144.142,-151.892,1314.18,260.378,-140.578,1255.6,27.9057,-163.205,1372.76,199.923,-111.664,1031.48,-119.953,-190.384,1120.06,152.877,-111.094,780.172,-141.622,-212.333,900.593,93.5061,53.214,874.451,-89.4668,-53.246,908.611,130.408,42.7074,452.012,-112.209,-96.0338,572.77,279.3,91.9491,62.5659,-194.667,-72.8285,104.791
7,0,277.131,-323.887,1399.18,142.455,-152.259,1315.06,259.915,-140.051,1257.14,24.9939,-164.467,1372.99,199.94,-110.787,1032.66,-120.037,-190.702,1120.45,152.928,-110.627,780.428,-144.126,-212.458,901.878,93.5698,52.5592,874.581,-89.5597,-52.6684,908.511,129.885,43.0741,450.04,-114.442,-80.3336,570.877,280.828,91.8758,61.7331,-195.628,-44.7955,106.136
8,0,277.056,-324.641,1399.54,140.42,-152.114,1315.26,259.102,-140.093,1257.29,21.7385,-164.135,1373.23,197.772,-110.855,1032.73,-121.732,-189.89,1120.73,151.295,-111.691,780.739,-148.783,-209.426,902.639,93.735,51.1239,874.712,-89.7721,-51.3369,908.403,129.3,42.1773,449.769,-117.089,-69.9224,569.807,280.791,87.7305,62.6484,-197.147,-32.5461,107.613
9,0,275.09,-324.202,1401.42,136.45,-152.249,1316.38,256.138,-140.676,1259.41,16.7621,-163.822,1373.34,196.009,-112.691,1034.81,-126.701,-187.838,1120.85,149.465,-114.465,781.781,-154.017,-205.921,903.303,93.8052,48.5261,875.082,-89.8611,-48.7607,908.05,128.7,37.5699,450.004,-121.027,-62.173,569.36,279.313,80.0955,63.4502,-206.749,-24.1066,108.18
