PEAK1=182,right_hand_TZ,Ball Toss
PEAK2=252,left_hand_TZ,Follow Through
SNAPSHOT=start_pose,252
SNAPSHOT=hand_cross,0
SNAPSHOT=flat_racket_arm,0
SNAPSHOT=peak_racket_arm,0
SNAPSHOT=contact,266
SNAPSHOT=hand_cross_2,307
SNAPSHOT=racket_deceleration,268
SNAPSHOT=finish_pose,288
,,head,,,chest,,,left_shoulder,,,right_shoulder,,,left_elbow,,,right_elbow,,,left_hand,,,right_hand,,,left_hip,,,right_hip,,,left_knee,,,right_knee,,,left_foot,,,right_foot,,
,,TX,TY,TZ,TX,TY,TZ,TX,TY,TZ,TX,TY,TZ,TX,TY,TZ,TX,TY,TZ,TX,TY,TZ,TX,TY,TZ,TX,TY,TZ,TX,TY,TZ,TX,TY,TZ,TX,TY,TZ,TX,TY,TZ,TX,TY,TZ
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
1,0,84.5421,-476.146,1419.72,136.904,-199.779,1279.77,240.712,-143.625,1261.95,33.0965,-255.933,1297.59,270.788,-96.6744,1042.8,99.6874,-312.258,979.508,301.805,-60.8819,795.698,112.46,-363.895,785.843,74.6361,93.8235,872.431,-72.3146,-92.6061,895.069,207.772,-8.05283,486.396,11.9415,-242.464,578.046,189.733,16.6665,92.155,-124.014,-331.399,132.722
2,0,93.1322,-473.276,1418.42,153.98,-196.979,1278.63,255.847,-141.392,1260.22,52.1135,-252.567,1297.03,292.42,-97.6087,1043.5,103.62,-311.92,982.82,320.86,-80.5827,797.346,126.133,-365.886,797.442,74.6398,93.8209,872.417,-72.2572,-92.5233,895.07,207.797,-7.65527,486.921,11.539,-232.838,570.385,191.659,35.5231,92.1161,-122.614,-312.116,129.196
3,0,107.018,-473.257,1415.56,168.399,-197.895,1274.49,269.671,-144.056,1254.55,67.1272,-251.734,1294.43,306.37,-110.565,1041.07,108.284,-311.334,986.956,340.503,-110.558,796.363,140.638,-369.268,814.677,74.8795,93.6341,872.427,-72.3059,-92.0639,895.034,207.801,3.11224,487.525,11.8771,-237.913,570.562,201.347,109.17,92.4504,-127.088,-300.985,129.726
4,0,115.101,-471.847,1414.38,173.873,-196.978,1272.96,275.541,-144.319,1252.2,72.2051,-249.637,1293.72,313.447,-113.13,1040.84,111.693,-308.372,989.342,349.565,-117.11,796.592,145.126,-368.858,820.078,75.1186,93.3202,872.426,-72.3567,-91.5072,895.009,206.264,4.99845,487.59,10.05,-236.734,568.363,209.373,103.298,91.5996,-131.257,-289.564,126.977
5,0,113.616,-469.598,1414.42,174.039,-196.417,1271.76,276.361,-145.476,1249.78,71.7163,-247.358,1293.74,312.293,-120.159,1040.22,112.972,-306.315,993.177,347.572,-126.639,796.632,149.285,-368.781,823.924,75.3564,92.8424,872.368,-72.4445,-90.833,895.039,204.957,5.23939,488.584,9.82457,-238.547,569.811,208.3,101.682,91.5952,-134.976,-293.883,127.062
6,0,113.141,-464.178,1415.38,173.881,-194.935,1271.81,276.451,-145.128,1249.79,71.3122,-244.743,1293.83,313.451,-120.287,1039.92,112.825,-303.838,995.37,347.235,-125.361,796.921,149.664,-366.878,824.395,75.5446,92.7236,872.362,-72.5108,-90.6346,895.039,204.365,6.70307,489.889,9.82164,-243.04,572.088,207.745,100.294,92.0277,-136.974,-297.486,127.244
7,0,112.046,-464.241,1415.68,173.385,-195.42,1271.5,276.149,-146.311,1249.29,70.6206,-244.529,1293.72,313.709,-122.454,1038.49,112.639,-303.302,995.121,348.395,-127.958,796.037,148.816,-366.848,822.872,75.6515,92.3638,872.365,-72.545,-90.1646,895.017,202.907,11.6544,489.822,9.83225,-242.759,571.598,207.656,117.315,90.1494,-140.979,-289.894,125.883
8,0,111.617,-464.008,1415.58,174.1,-195.231,1271.03,276.424,-146.348,1248.55,71.7761,-244.114,1293.51,314.774,-123.584,1037.48,113.577,-303.041,995.352,347.364,-127.021,796.047,148.659,-366.661,822.065,75.7189,92.3415,872.359,-72.5625,-90.1151,895.018,202.975,12.9617,490.724,10.2096,-246.818,574.422,207.665,116.14,92.3832,-140.529,-300.508,127.933
9,0,112.636,-464.153,1415.69,173.85,-195.837,1270.52,276.43,-147.491,1247.98,71.2694,-244.183,1293.05,315.871,-123.186,1037.3,113.418,-302.817,995.187,349.356,-123.884,796.024,147.922,-365.933,821.302,75.7542,92.1196,872.382,-72.5694,-89.8392,894.973,202.691,10.665,490.734,10.4929,-244.125,573.519,208.988,110.529,90.3656,-140.203,-296.098,126.846
